Date,Country,Cumulative number of case(s),Number of deaths,Number recovered
17 March 2003,  Germany ,   1 ,  0,
17 March 2003, Canada  , 8, 2,
17 March 2003, Singapore , 20, 0,
17 March 2003, Hong Kong Special Administrative Region of China , 95 , 1**,
17 March 2003, Switzerland, 2, 0,
17 March 2003, Thailand , 1 , 0,
17 March 2003, Viet Nam  , 40, 1,
18 March 2003,Germany,2,0,
18 March 2003,Canada,8,2,
18 March 2003,"China 
    +", , ,
18 March 2003,Singapore,"
    23",0,
18 March 2003,Hong Kong Special Administrative Region of China,123,1**,
18 March 2003,"
    Taiwan, China ","
    3",0,
18 March 2003,Thailand,1 ,0,
18 March 2003,Viet Nam, 57,1,
18 March 2003,Slovenia,1,"
    0",
18 March 2003,"
    United Kingdom",1,0,
19 March 2003,Canada,8,2,
19 March 2003,China+, , ,
19 March 2003,Germany,1,0,
19 March 2003,Hong Kong Special Administrative Region of China,150,5**,
19 March 2003,Singapore,31,0,
19 March 2003, Slovenia,1,0,
19 March 2003,Spain,1 ,0,
19 March 2003,"Taiwan, China",3,0,
19 March 2003,Thailand,1,0,
19 March 2003,United Kingdom,1,0,
19 March 2003,United States,11,0,
19 March 2003,Viet Nam,56,2,
20 March 2003,Canada ,"
9
","
2
",
20 March 2003,China +,"
 
","
 
",
20 March 2003,Germany ,"
1
","
0
",
20 March 2003,Hong Kong Special Administrative Region of China ,"
173
","
6**
",
20 March 2003,Singapore ,"
34
","
0
",
20 March 2003,Slovenia ,"
1
","
0
",
20 March 2003,Spain ,"
1
","
0
",
20 March 2003,Switzerland ,"
7
","
0
",
20 March 2003,"Taiwan, China ","
4
","
0
",
20 March 2003,Thailand ,"
1
","
0
",
20 March 2003,United Kingdom ,"
2
","
0
",
20 March 2003,United States ,"
11
","
0
",
20 March 2003,Viet Nam ,"
62
","
2
",
21 March 2003,Canada , 9, 2,
21 March 2003,China +,  ,  ,
21 March 2003,Germany , 1, 0,
21 March 2003,Hong Kong Special Administrative Region of China , 203, 6**,
21 March 2003,Italy , 1, 0,
21 March 2003,Republic of Ireland , 1, 0,
21 March 2003,Singapore , 39, 0,
21 March 2003,Slovenia , 1, 0,
21 March 2003,Spain , 1, 0,
21 March 2003,Switzerland , 7, 0,
21 March 2003,"Taiwan, China ", 6, 0,
21 March 2003,Thailand , 4, 0,
21 March 2003,United Kingdom , 2, 0,
21 March 2003,United States , 13, 0,
21 March 2003,Viet Nam , 62, 2,
22 March 2003,Canada , 9, 2,
22 March 2003,China + ,  ,  ,
22 March 2003,Germany , 2, 0,
22 March 2003,Hong Kong Special Administrative Region of China , 222, 7**,
22 March 2003,Italy , 2, 0,
22 March 2003,Republic of Ireland , 1, 0,
22 March 2003,Singapore , 44, 0,
22 March 2003,Slovenia , 1, 0,
22 March 2003,Spain , 1, 0,
22 March 2003,Switzerland , 7, 0,
22 March 2003,"Taiwan, China ", 6, 0,
22 March 2003,Thailand , 4, 0,
22 March 2003,United Kingdom , 2, 0,
22 March 2003,United States , 22, 0,
22 March 2003,Viet Nam , 63, 2,
24 March 2003,Canada , 11, 3,
24 March 2003,China + ,  ,  ,
24 March 2003,France , 1, 0,
24 March 2003,Germany , 4, 0,
24 March 2003,Hong Kong Special Administrative Region of China , 260, 10**,
24 March 2003,Italy , 2, 0,
24 March 2003,Republic of Ireland , 1, 0,
24 March 2003,Singapore , 65, 0,
24 March 2003,Spain , 1, 0,
24 March 2003,Switzerland , 2, 0,
24 March 2003,"Taiwan, China ", 6, 0,
24 March 2003,Thailand , 5, 0,
24 March 2003,United Kingdom , 3, 0,
24 March 2003,United States , 37 §, 0,
24 March 2003,Viet Nam , 58, 4,
25 March 2003,Canada , 11, 3,
25 March 2003,China + ,  ,  ,
25 March 2003,France , 1, 0,
25 March 2003,Germany , 4, 0,
25 March 2003,Hong Kong Special Administrative Region of China , 286, 10**,
25 March 2003,Italy , 2, 0,
25 March 2003,Republic of Ireland , 1, 0,
25 March 2003,Singapore , 69, 0,
25 March 2003,Switzerland , 2, 0,
25 March 2003,"Taiwan, China ", 6, 0,
25 March 2003,Thailand , 5, 0,
25 March 2003,United Kingdom , 3, 0,
25 March 2003,United States , 39 §, 0,
25 March 2003,Viet Nam , 58, 4,
26 March 2003,Canada , 19, 3,
26 March 2003,"China, Guangdong Province+  ",792,31,
26 March 2003,"China, Hong Kong Special Administrative Region  ", 316, 10**,
26 March 2003,"China, Taiwan ", 6, 0,
26 March 2003,France , 1, 0,
26 March 2003,Germany , 4, 0,
26 March 2003,Italy , 3, 0,
26 March 2003,Republic of Ireland , 2, 0,
26 March 2003,Singapore , 74, 1,
26 March 2003,Switzerland , 2, 0,
26 March 2003,Thailand , 3, 0,
26 March 2003,United Kingdom , 3, 0,
26 March 2003,United States , 40 §, 0,
26 March 2003,Viet Nam , 58, 4,
27 March 2003,Canada , 28, 3,
27 March 2003,China +  ,806,34,
27 March 2003,"China, Hong Kong Special Administrative Region  ", 367, 10**,
27 March 2003,"China, Taiwan ", 6, 0,
27 March 2003,France , 1, 0,
27 March 2003,Germany , 4, 0,
27 March 2003,Italy , 2, 0,
27 March 2003,Republic of Ireland , 2, 0,
27 March 2003,Romania , 3, 0,
27 March 2003,Singapore , 78, 2,
27 March 2003,Switzerland , 2, 0,
27 March 2003,Thailand , 3, 0,
27 March 2003,United Kingdom , 3, 0,
27 March 2003,United States , 45 §, 0,
27 March 2003,Viet Nam , 58, 4,
28 March 2003,Canada ,  29, 3,
28 March 2003,China3  ,806,34,
28 March 2003,"China, Hong Kong Special Administrative Region  ", 425,  10*,
28 March 2003,"China, Taiwan ",  10, 0,
28 March 2003,France , 1, 0,
28 March 2003,Germany , 4, 0,
28 March 2003,Italy , 2, 0,
28 March 2003,Republic of Ireland , 2, 0,
28 March 2003,Romania , 3, 0,
28 March 2003,Singapore ,  86, 2,
28 March 2003,Switzerland , 2, 0,
28 March 2003,Thailand , 3, 0,
28 March 2003,United Kingdom , 3, 0,
28 March 2003,United States , 51 §, 0,
28 March 2003,Viet Nam , 58, 4,
29 March 2003,Canada ,  37, 3,
29 March 2003,China3  ,806,34,
29 March 2003,"China, Hong Kong Special Administrative Region  ", 470,  10*,
29 March 2003,"China, Taiwan ",  10, 0,
29 March 2003,France , 1, 0,
29 March 2003,Germany , 4, 0,
29 March 2003,Italy , 2, 0,
29 March 2003,Republic of Ireland , 2, 0,
29 March 2003,Romania , 3, 0,
29 March 2003,Singapore ,  89, 2,
29 March 2003,Switzerland , 3, 0,
29 March 2003,Thailand , 3, 1,
29 March 2003,United Kingdom  , 3, 0,
29 March 2003,United States , 59 §, 0,
29 March 2003,Viet Nam , 58, 4,
31 March 2003,Canada ,  44, 4,
31 March 2003,China3  ,806,34,
31 March 2003,"China, Hong Kong Special Administrative Region  ", 530,  13*,
31 March 2003,"China, Taiwan ",  10, 0,
31 March 2003,France , 1, 0,
31 March 2003,Germany , 5, 0,
31 March 2003,Italy , 2, 0,
31 March 2003,Republic of Ireland , 2, 0,
31 March 2003,Romania , 3, 0,
31 March 2003,Singapore ,  91, 2,
31 March 2003,Switzerland , 3, 0,
31 March 2003,Thailand , 5, 1,
31 March 2003,United Kingdom , 3, 0,
31 March 2003,United States , 59 §, 0,
31 March 2003,Viet Nam , 58, 4,
1 April 2003,Australia ,  1,  0,
1 April 2003,Belgium ,  1,  0,
1 April 2003,Canada ,  53, 4,
1 April 2003,China3  ,806,34,
1 April 2003,"China, Hong Kong Special Administrative Region  ", 685,  16*,
1 April 2003,"China, Taiwan ",  13, 0,
1 April 2003,France , 1, 0,
1 April 2003,Germany , 5, 0,
1 April 2003,Italy ,  3, 0,
1 April 2003,Republic of Ireland , 2, 0,
1 April 2003,Romania , 3, 0,
1 April 2003,Singapore ,  92, 3,
1 April 2003,Switzerland , 3, 0,
1 April 2003,Thailand ,  6, 1,
1 April 2003,United Kingdom , 3, 0,
1 April 2003,United States , 69 §, 0,
1 April 2003,Viet Nam , 58, 4,
2 April 2003,Australia , 1, 0,
2 April 2003,Belgium , 1, 0,
2 April 2003,Canada , 58, 6,
2 April 2003,China , 1190, 46,
2 April 2003,"China, Hong Kong Special Administrative Region", 708, 16*,
2 April 2003,"China, Taiwan", 13, 0,
2 April 2003,France , 1, 0,
2 April 2003,Germany , 5, 0,
2 April 2003,Italy , 3, 0,
2 April 2003,Republic of Ireland , 2, 0,
2 April 2003,Romania , 3, 0,
2 April 2003,Singapore , 95, 4,
2 April 2003,Spain , 1, 0,
2 April 2003,Switzerland , 2, 0,
2 April 2003,Thailand , 7, 2,
2 April 2003,United Kingdom , 3, 0,
2 April 2003,United States , 72§, 0,
2 April 2003,Viet Nam , 58, 4,
3 April 2003,Australia , 1, 0,
3 April 2003,Belgium , 1, 0,
3 April 2003,Brazil ,1,0,
3 April 2003,Canada , 62, 6,
3 April 2003,China , 1190, 46,
3 April 2003,"China, Hong Kong Special Administrative Region", 734, 17*,
3 April 2003,"China, Taiwan", 14, 0,
3 April 2003,France , 3, 0,
3 April 2003,Germany , 5, 0,
3 April 2003,Italy , 3, 0,
3 April 2003,Republic of Ireland , 1, 0,
3 April 2003,Romania , 1, 0,
3 April 2003,Singapore , 98, 4,
3 April 2003,Switzerland , 2, 0,
3 April 2003,Thailand , 7, 2,
3 April 2003,United Kingdom , 3, 0,
3 April 2003,United States , 85§, 0,
3 April 2003,Viet Nam , 59, 4,
4 April 2003,Australia , 1, 0,
4 April 2003,Belgium , 1, 0,
4 April 2003,Brazil ,1,0,
4 April 2003,Canada ,  69, 7,
4 April 2003,China,"
   1220", 49,
4 April 2003,"China, Hong Kong Special Administrative Region",  761, 17*,
4 April 2003,"China, Taiwan",  15, 0,
4 April 2003,France , 3, 0,
4 April 2003,Germany , 5, 0,
4 April 2003,Italy , 3, 0,
4 April 2003,Republic of Ireland , 1, 0,
4 April 2003,Romania , 1, 0,
4 April 2003,Singapore , 100,  5,
4 April 2003,Spain, 1, 0,
4 April 2003,Switzerland , 2, 0,
4 April 2003,Thailand , 7, 2,
4 April 2003,United Kingdom , 3, 0,
4 April 2003,United States ,  100§, 0,
4 April 2003,Viet Nam , 59, 4,
5 April 2003,Australia , 1, 0,
5 April 2003,Belgium , 1, 0,
5 April 2003,Brazil , 1, 0,
5 April 2003,Canada , 74, 7,
5 April 2003,China , 1220, 49,
5 April 2003,"China, Hong Kong Special Administrative Region", 800, 20*,
5 April 2003,"China, Taiwan", 17, 0,
5 April 2003,France , 3, 0,
5 April 2003,Germany , 5, 0,
5 April 2003,Italy , 3, 0,
5 April 2003,Malaysia , 1, 1,
5 April 2003,Republic of Ireland , 1, 0,
5 April 2003,Romania , 1, 0,
